cmd , register , value 
w , 0xFE , 0x0 
w , 0x9B , 0x91 
w , 0x9A , 0xa6 
w , 0x9C , 0x0 
w , 0xFE , 0x1 
w , 0x17 , 0x1 
w , 0x17 , 0x3 
w , 0x15 , 0x0 
w , 0x16 , 0x4 
w , 0x1A , 0x40 
w , 0x1B , 0x0 
w , 0x1A , 0x50 
w , 0x1B , 0x10 
w , 0xFE , 0x0 
w , 0x9C , 0x0 
w , 0x9B , 0x81 
w , 0x9A , 0x86 
w , 0xFE , 0x1 
w , 0x17 , 0x2 
w , 0x17 , 0x0 
w , 0x15 , 0x0 
w , 0x16 , 0x0 
w , 0x1A , 0x10 
w , 0x1B , 0x10 
w , 0x1A , 0x0 
w , 0x1B , 0x0 
