cmd , register , value 
w , 0xFE , 0x0 
w , 0xFE , 0x1 
w , 0x17 , 0x1 
w , 0x17 , 0x3 
w , 0x18 , 0x1 
w , 0x15 , 0x4 
w , 0x19 , 0x1 
w , 0x19 , 0x1 
w , 0x19 , 0x1 
w , 0x19 , 0x1 
w , 0x19 , 0x1 
w , 0x19 , 0x1 
w , 0x16 , 0x4 
w , 0xFE , 0x0 
w , 0x9C , 0x0 
w , 0x9B , 0x91 
w , 0x9A , 0x96 
w , 0x9A , 0xb6 
w , 0xFE , 0x1 
w , 0x1A , 0x4 
w , 0x1B , 0x0 
w , 0x1A , 0x14 
w , 0x1B , 0x10 
w , 0x19 , 0x3 
