

Command;Check;Page;SAD;ADD;DATA;MSB;LSB;Comment
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 21; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 22; DATA: 35;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 21; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 22; DATA: 35;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 21; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 22; DATA: 35;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 21; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 22; DATA: 35;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 21; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 22; DATA: 35;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 21; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 22; DATA: 35;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 21; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 22; DATA: 35;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 21; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 22; DATA: 35;;
WR-Reg; CHECK: O; PAGE: 1; SAD: 38; ADD: fe; DATA: 1;;
WR-Reg; CHECK: O; PAGE: 1; SAD: 38; ADD: bf; DATA: 0;;
WR-Reg; CHECK: O; PAGE: 1; SAD: 38; ADD: c1; DATA: 6;;
WR-Reg; CHECK: O; PAGE: 1; SAD: 38; ADD: c2; DATA: ea;;
WR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: fe; DATA: 0;;
Dl-sec; CHECK: O; 1;;;COM: {'Instruction': 'Force', 'Unit': 'V', 'Signal/SAD': 'PVDD', 'Reference/ADD': 'GND', 'Value/DATA': 2.8, 'PAGE': '', 'Comments': 'args=(), kwargs={}'};
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: 9;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: 9;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: 9;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: 9;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: 9;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: 9;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: 9;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 2;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: 9;;
Dl-sec; CHECK: O; 1;;;COM: {'Instruction': 'Force', 'Unit': 'V', 'Signal/SAD': 'PVDD', 'Reference/ADD': 'GND', 'Value/DATA': 4.8, 'PAGE': '', 'Comments': 'args=(), kwargs={}'};
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 3;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: 7d;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 3;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: 7d;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 3;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: 7d;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 3;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: 7d;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 3;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: 7d;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 3;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: 7d;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 3;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: 7d;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 23; DATA: 3;;
RR-Reg; CHECK: O; PAGE: 0; SAD: 38; ADD: 24; DATA: 7d;;
