cmd , register , value 
w , 0xFE , 0x1 
w , 0x18 , 0x10 
w , 0x18 , 0x14 
w , 0x18 , 0x14 
w , 0xFE , 0x0 
w , 0x75 , 0x4 
w , 0x73 , 0x10 
w , 0x75 , 0x4 
w , 0xFE , 0x1 
w , 0x03 , 0x10 
w , 0x04 , 0x0 
w , 0xB7 , hex(i) 
w , 0xB7 , optimal_code 
w , 0xB7 , 0x22 
w , 0xFE , 0x1 
w , 0x18 , 0x4 
w , 0x18 , 0x0 
w , 0x03 , 0x0 
w , 0x04 , 0x0 
