cmd , register , value 
w , 0xFE , 0x0 
w , 0x84 , 0xd7 
w , 0x81 , 0x6 
w , 0x82 , 0x18 
w , 0x83 , 0x10 
w , 0xFE , 0x1 
w , 0x03 , 0x8 
w , 0x04 , 0x23 
w , 0xCF , i 
w , 0xD1 , i 
w , 0xCF , optimal_code 
w , 0xD1 , optimal_code 
w , 0xCF , 0x0 
w , 0xD1 , optimal_code 
w , 0xFE , 0x0 
w , 0x84 , 0x17 
w , 0xFE , 0x0 
w , 0x84 , 0x17 
