cmd , register , value 
w , 0xFE , 0x0 
w , 0x92 , 0x5 
w , 0xFE , 0x1 
w , 0x03 , 0x2 
w , 0x04 , 0x5 
w , 0x11 , 0x1 
w , 0x12 , 0x0 
w , 0x11 , 0x81 
w , 0xB6 , 0xf8 
w , 0xB6 , code 
w , 0xFE , 0x0 
w , 0x9F , 0x0 
w , 0xFE , 0x1 
w , 0x03 , 0x0 
w , 0x04 , 0x0 
w , 0x11 , 0x80 
w , 0x12 , 0x0 
w , 0x11 , 0x0 
