cmd , register , value 
w , 0xFE , 0x0 
w , 0x9C , 0x0 
w , 0x9B , 0x91 
w , 0x9C , 0x66 
r , 0x6B , 0x0 
r , 0x6C , 0x0 
w , 0x9C , 0x0 
r , 0x69 , 0x0 
r , 0x6A , 0x0 
r , 0x6B , 0x0 
r , 0x6C , 0x0 
r , 0x69 , 0x0 
r , 0x6A , 0x0 
r , 0x6B , 0x0 
r , 0x6C , 0x0 
w , 0xFE , 0x1 
w , 0xBF , v2i_gain_code 
w , 0xC0 , v2i_gain_code 
w , 0xFE , 0x0 
r , 0x6B , 0x0 
r , 0x6C , 0x0 
w , 0x9B , 0x81 
