Instruction,Unit,Signal/SAD,Reference/ADD,Value/DATA,PAGE,Comments
Trigger,,IODATA0,GND,2.25,,"(), {'simulated_measured_value': 2.0196412360203433}"
I2C,WR-Reg,0x38,0xb3,0x7e,1,
Force,V,PVDD,GND,2,,"args=(), kwargs={}"
Trigger,,IODATA0,GND,2.25,,"(), {'simulated_measured_value': 2.074170440790097}"
I2C,WR-Reg,0x38,0xb3,0x7d,1,
Force,V,PVDD,GND,2,,"args=(), kwargs={}"
Trigger,,IODATA0,GND,2.25,,"(), {'simulated_measured_value': 2.14594460364332}"
I2C,WR-Reg,0x38,0xb3,0x7c,1,
Force,V,PVDD,GND,2,,"args=(), kwargs={}"
Trigger,,IODATA0,GND,2.25,,"(), {'simulated_measured_value': 2.125218220063463}"
I2C,WR-Reg,0x38,0xb3,0x7b,1,
Force,V,PVDD,GND,2,,"args=(), kwargs={}"
Trigger,,IODATA0,GND,2.25,,"(), {'simulated_measured_value': 1.835611736519901}"
I2C,WR-Reg,0x38,0xb3,0x7a,1,
Force,V,PVDD,GND,2,,"args=(), kwargs={}"
Trigger,,IODATA0,GND,2.25,,"(), {'simulated_measured_value': 1.9440514168221597}"
I2C,WR-Reg,0x38,0xb3,0x79,1,
Force,V,PVDD,GND,2,,"args=(), kwargs={}"
Trigger,,IODATA0,GND,2.25,,"(), {'simulated_measured_value': 2.2213502072884155}"
I2C,WR-Reg,0x38,0xb3,0x78,1,
Force,V,PVDD,GND,2,,"args=(), kwargs={}"
Trigger,,IODATA0,GND,2.25,,"(), {'simulated_measured_value': 1.899474700602598}"
I2C,WR-Reg,0x38,0xb3,0x77,1,
Force,V,PVDD,GND,2,,"args=(), kwargs={}"
Trigger,,IODATA0,GND,2.25,,"(), {'simulated_measured_value': 2.1139616634814735}"
I2C,WR-Reg,0x38,0xb3,0x76,1,
Force,V,PVDD,GND,2,,"args=(), kwargs={}"
Trigger,,IODATA0,GND,2.25,,"(), {'simulated_measured_value': 2.008288588807511}"
I2C,WR-Reg,0x38,0xb3,0x75,1,
Force,V,PVDD,GND,2,,"args=(), kwargs={}"
Trigger,,IODATA0,GND,2.25,,"(), {'simulated_measured_value': 1.8998991210912315}"
I2C,WR-Reg,0x38,0xb3,0x74,1,
Force,V,PVDD,GND,2,,"args=(), kwargs={}"
Trigger,,IODATA0,GND,2.25,,"(), {'simulated_measured_value': 1.8791842019990674}"
I2C,WR-Reg,0x38,0xb3,0x73,1,
Force,V,PVDD,GND,2,,"args=(), kwargs={}"
Trigger,,IODATA0,GND,2.25,,"(), {'simulated_measured_value': 1.8242712624816444}"
Force,V,PVDD,GND,3.7,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb3,0x79,1,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x1d,0xb0,1,
I2C,WR-Reg,0x38,0x1d,0xb0,1,
I2C,WR-Reg,0x38,0x1d,0xb0,1,
I2C,WR-Reg,0x38,0x1c,0x0,1,
