cmd , register , value 
w , 0xFE , 0x0 
w , 0x9C , 0x66 
w , 0x9B , 0x91 
r , 0x6B , 0x0 
r , 0x6C , 0x0 
r , 0x6B , 0x0 
r , 0x6C , 0x0 
r , 0x6B , 0x0 
r , 0x6C , 0x0 
w , 0xFE , 0x1 
w , 0xBB , isns_gain_code 
w , 0xBC , isns_gain_code 
w , 0xFE , 0x0 
r , 0x6B , 0x0 
r , 0x6C , 0x0 
w , 0xFE , 0x0 
r , 0x6B , 0x0 
r , 0x6C , 0x0 
w , 0x9C , 0x0 
w , 0x9B , 0x81 
